Factor,Regime,Months,LS Ann Return,LS Ann Vol,LS Sharpe
Value (P/B),Trending,59,0.15287170474339312,0.2373542966381549,0.6440654620903916
Value (P/B),Mean Reverting,58,0.08857275025829799,0.21754183803359128,0.40715271627254157
Value (P/B),Random Walk,110,0.008609223394482297,0.2438195633909238,0.0353098138424555
Size,Trending,59,-0.0896600026587018,0.19934193585414903,-0.4497799335324136
Size,Mean Reverting,58,-0.10564306374520277,0.12290372500033567,-0.8595594945955808
Size,Random Walk,110,0.18207218485609783,0.22015179853213193,0.8270301949385335
Momentum,Trending,59,0.13416108984281278,0.206885974636509,0.6484784194700913
Momentum,Mean Reverting,58,0.21062241134659607,0.14471970484266392,1.4553817089081278
Momentum,Random Walk,110,-0.037283508857260894,0.22213288382433238,-0.16784326667611052
Liquidity,Trending,59,-0.09788189074281693,0.16520489794627957,-0.5924878254798815
Liquidity,Mean Reverting,58,0.07034478340134794,0.1275159935183304,0.5516545921844375
Liquidity,Random Walk,110,0.11060885526677258,0.1899395297836749,0.5823372069665895
