Year,Entry Mean Ret,Entry Median Ret,Exit Mean Ret (prev yr),Exit Median Ret (prev yr),Stayer Mean Ret,Stayer Median Ret,N Entries,N Exits,N Stayers
2007,1.5392196823874102,1.2247711199364373,0.41494373023557274,0.2569585318923573,1.9789629111224505,1.7028634266239924,49,49,251
2008,-0.6787691583335721,-0.691626929748523,1.9726484515330909,1.6323863343217084,-0.6355914426032896,-0.6674187013569273,62,62,238
2009,1.198316391787092,0.9991503823279526,-0.6122355085118911,-0.6588354394441832,1.15192185079503,1.0052219321148828,47,47,253
2010,0.04661469205180692,-0.013566033585099446,1.2338838699509287,1.067857142857143,-0.01612397774689614,-0.13340510284309842,38,40,260
2011,-0.33371747422604353,-0.33735585947975333,-0.018552112355676775,-0.14596361569073324,-0.29295742031423144,-0.3108659150875509,34,32,266
2012,0.015831708047575825,-0.04697581248184041,-0.28270507491945096,-0.301965704726056,0.09613783373666666,0.043318233295583264,50,50,250
2013,0.23347957115718382,0.10006553876156954,0.06642432830480298,-0.0005071692626110735,-0.0407081376039123,-0.07834877297248788,39,39,261
2014,0.38195249097580347,0.15072137426201493,-0.13834058964288723,-0.22692898635648467,0.5698233522482307,0.5148282483464901,49,49,251
2015,0.4882187266297015,0.5330585530382104,0.5338316494710517,0.3528721227815953,0.08286363484754296,0.0013840743919272258,48,48,252
2016,-0.16383445754855575,-0.17475898334794038,0.13012915444229656,0.02424139813053605,-0.023915079465905806,-0.050118002279939566,42,42,258
2017,-0.018125408539070683,-0.14995169733393654,-0.05941861233840653,-0.08833304038362122,0.1326838575678682,0.01626739348730455,51,51,249
2018,-0.2857569420186823,-0.33497185580627514,-0.16016124742317606,-0.1698018560321043,-0.2679209056576552,-0.26532689570018503,54,54,246
2019,0.46587559619088703,0.2560542460445594,-0.3431904156968935,-0.3410852713178294,0.3468209848328888,0.2572165269615273,51,51,249
2020,0.2072483258968667,0.04192667706708275,0.06458832337505682,0.09195402298850586,0.24916181884574543,0.04143980641258316,35,35,265
2021,-0.05304992106320941,-0.117919921875,-0.07540712796079953,-0.12206085753803586,0.02389520771660095,-0.029374414177430197,47,47,253
2022,-0.2058617570420815,-0.21994394893286662,-0.04196537008271751,-0.11747572815533969,-0.17537800853337548,-0.19522001176495013,52,52,248
2023,-0.22664064888338434,-0.26695686309497896,-0.21790628731667686,-0.21778672652794595,-0.04853445856630671,-0.04668088073747639,42,42,258
2024,0.26602921392346834,0.11218223364752933,-0.1669101277735744,-0.22125283263191975,0.14154215090369454,0.12156708337434785,23,23,277
2025,0.4965173457562861,0.17083223156064575,-0.13870391225544168,-0.15077148502726362,0.23373766151611905,0.09952801494860197,28,28,272
